	Locations	Locations_Group	Weight_g	Length_mm	sample_type	Fishname	Locationtype_fishtype	location_sampletype	sampletype_speciestype
S373	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
S374	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S375	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S376	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S377	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S378	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S379	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S380	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S381	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S382	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S383	Lake_Ontario	3	NA	NA	Skin	Walleye	Lake_OntarioWalleye	Lake_OntarioSkin	SkinWalleye
